pick_key,game_date,player_name,prop_type,participant_join_key,participant_id,participant_source_id,participant_source_id_type,participant_name_norm,sport,market_key,market_family,team,opponent,book,bookmaker_key,event_id,odds,price,pick_side,line,market_selection_key,market_offer_key,predicted_value,predicted_strikeouts,edge,confidence_tier,pick_type,result,actual_value,actual_strikeouts,record_source,result_normalized,odds_numeric,units_risked,units_result
legacy-0029,,Martín Pérez,,,,,,,,,,,,BetMGM,,,-120,-120,over,3.5,,,,,,,official,W,,,manual_seed,W,-120.0,1.0,0.8333333333333334
legacy-0030,,George Kirby,,,,,,,,,,,,FanDuel,,,126,126,over,5.5,,,,,,,official,L,,,manual_seed,L,126.0,1.0,-1.0
legacy-0031,,Yusei Kikuchi,,,,,,,,,,,,BetMGM,,,115,115,under,5.5,,,,,,,official,W,,,manual_seed,W,115.0,1.0,1.15
2026-04-30|peter lambert,2026-04-30,Peter Lambert,,,,,,,,,,HOU,BAL,BetMGM,,,-160,-160,under,5.5,,,3.1216189861297607,3.1216189861297607,2.3783810138702393,high,official,W,,,run_daily_card,W,-160.0,1.0,0.625
2026-04-30|kevin gausman,2026-04-30,Kevin Gausman,,,,,,,,,,TOR,MIN,BetMGM,,,-110,-110,over,5.5,,,6.670597553253174,6.670597553253174,1.1705975532531738,high,official,L,,,run_daily_card,L,-110.0,1.0,-1.0
2026-04-30|bryce elder,2026-04-30,Bryce Elder,,,,,,,,,,ATL,DET,DraftKings,,,-128,-128,over,4.5,,,5.65626859664917,5.65626859664917,1.15626859664917,high,official,W,,,run_daily_card,W,-128.0,1.0,0.78125
2026-05-01|jt ginn,2026-05-01,JT Ginn,,,,,,,,,,ATH,CLE,BetMGM,,,-105,-105,over,3.5,,,5.311550617218018,5.311550617218018,1.8115506172180176,high,official,W,,,run_daily_card,W,-105.0,1.0,0.9523809523809523
2026-05-01|zac gallen,2026-05-01,Zac Gallen,,,,,,,,,,AZ,CHC,FanDuel,,,116,116,over,4.5,,,5.818013668060303,5.818013668060303,1.3180136680603027,high,official,L,,,run_daily_card,L,116.0,1.0,-1.0
2026-05-01|simeon woods richardson,2026-05-01,Simeon Woods Richardson,,,,,,,,,,MIN,TOR,DraftKings,,,-103,-103,over,3.5,,,4.812343120574951,4.812343120574951,1.3123431205749512,high,official,L,,,run_daily_card,L,-103.0,1.0,-1.0
2026-05-02|reid detmers,2026-05-02,Reid Detmers,,,,,,,,,,LAA,NYM,BetMGM,,,-125,-125,under,6.5,,,4.437117099761963,4.437117099761963,2.062882900238037,high,official,L,,,run_daily_card,L,-125.0,1.0,-1.0
2026-05-02|sean burke,2026-05-02,Sean Burke,,,,,,,,,,CWS,SD,FanDuel,,,-130,-130,over,3.5,,,5.375972270965576,5.375972270965576,1.8759722709655762,high,official,W,,,run_daily_card,W,-130.0,1.0,0.7692307692307693
2026-05-02|chris sale,2026-05-02,Chris Sale,,,,,,,,,,ATL,COL,FanDuel,,,-144,-144,under,7.5,,,5.521391868591309,5.521391868591309,1.9786081314086914,high,official,L,,,run_daily_card,L,-144.0,1.0,-1.0
2026-05-03|jack leiter,2026-05-03,Jack Leiter,,,,,,,,,,TEX,DET,FanDuel,,,-172,-172,over,4.5,,,5.989242076873779,5.989242076873779,1.4892420768737793,high,official,W,,,run_daily_card,W,-172.0,1.0,0.5813953488372093
2026-05-03|kyle freeland,2026-05-03,Kyle Freeland,,,,,,,,,,COL,ATL,FanDuel,,,-125,-125,over,3.5,,,4.571568489074707,4.571568489074707,1.071568489074707,medium,official,W,,,run_daily_card,W,-125.0,1.0,0.8
2026-05-03|merrill kelly,2026-05-03,Merrill Kelly,,,,,,,,,,AZ,CHC,FanDuel,,,-144,-144,over,3.5,,,4.505809783935547,4.505809783935547,1.0058097839355469,medium,official,W,,,run_daily_card,W,-144.0,1.0,0.6944444444444444
2026-05-04|chad patrick,2026-05-04,Chad Patrick,,,,,,,,,,MIL,STL,DraftKings,,,-137,-137,over,3.5,,,5.568472385406494,5.568472385406494,2.068472385406494,high,official,W,,,run_daily_card,W,-137.0,1.0,0.7299270072992701
2026-05-04|logan gilbert,2026-05-04,Logan Gilbert,,,,,,,,,,SEA,ATL,DraftKings,,,-141,-141,under,6.5,,,5.317350387573242,5.317350387573242,1.1826496124267578,medium,official,W,,,run_daily_card,W,-141.0,1.0,0.7092198581560284
2026-05-04|yoshinobu yamamoto,2026-05-04,Yoshinobu Yamamoto,,,,,,,,,,LAD,HOU,FanDuel,,,-158,-158,over,5.5,,,6.6789350509643555,6.6789350509643555,1.1789350509643555,medium,official,W,,,run_daily_card,W,-158.0,1.0,0.6329113924050633
2026-05-05|peter lambert,2026-05-05,Peter Lambert,,,,,,,,,,HOU,LAD,BetMGM,,,115,115,under,4.5,,,2.7774240970611572,2.7774240970611572,1.7225759029388428,high,official,W,,,run_daily_card,W,115.0,1.0,1.15
2026-05-05|stephen kolek,2026-05-05,Stephen Kolek,,,,,,,,,,KC,CLE,DraftKings,,,-157,-157,over,2.5,,,4.562065601348877,4.562065601348877,2.062065601348877,high,official,W,,,run_daily_card,W,-157.0,1.0,0.6369426751592356
2026-05-05|shohei ohtani,2026-05-05,Shohei Ohtani,,,,,,,,,,LAD,HOU,DraftKings,,,-152,-152,under,7.5,,,5.5092058181762695,5.5092058181762695,1.9907941818237305,high,official,L,,,run_daily_card,L,-152.0,1.0,-1.0
2026-05-06|sonny gray,2026-05-06,Sonny Gray,,,,,,,,,,BOS,DET,DraftKings,,,108,108,over,4.5,,,6.3377814292907715,6.3377814292907715,1.8377814292907715,high,official,L,,,run_daily_card,L,108.0,1.0,-1.0
2026-05-06|bryan woo,2026-05-06,Bryan Woo,,,,,,,,,,SEA,ATL,BetMGM,,,-160,-160,over,4.5,,,6.964148044586182,6.964148044586182,2.4641480445861816,high,official,W,,,run_daily_card,W,-160.0,1.0,0.625
2026-05-06|adrian houser,2026-05-06,Adrian Houser,,,,,,,,,,SF,SD,FanDuel,,,120,120,over,3.5,,,4.868718147277832,4.868718147277832,1.368718147277832,high,official,L,,,run_daily_card,L,120.0,1.0,-1.0
2026-05-07|simeon woods richardson,2026-05-07,Simeon Woods Richardson,,,,,,,,,,MIN,WSH,FanDuel,,,-118,-118,over,3.5,,,5.686676502227783,5.686676502227783,2.186676502227783,high,official,L,,,run_daily_card,L,-118.0,1.0,-1.0
2026-05-07|zac gallen,2026-05-07,Zac Gallen,,,,,,,,,,AZ,PIT,DraftKings,,,-119,-119,over,4.5,,,6.00658655166626,6.00658655166626,1.5065865516662598,high,official,W,,,run_daily_card,W,-119.0,1.0,0.8403361344537815
2026-05-07|jt ginn,2026-05-07,JT Ginn,,,,,,,,,,ATH,PHI,FanDuel,,,110,110,over,4.5,,,5.752137184143066,5.752137184143066,1.2521371841430664,high,official,W,,,run_daily_card,W,110.0,1.0,1.1
2026-05-08|MLB|pitcher_strikeouts|name:chris sale|under|7.5|draftkings,2026-05-08,chris sale,,mlbam_player:519242,mlbam_player:519242,519242,mlbam_player,chris sale,MLB,pitcher_strikeouts,player_prop,ATL,LAD,DraftKings,draftkings,9faf187505c47b0f5009cb7d7da5200c,-148,-148,under,7.5,MLB|pitcher_strikeouts|name:chris sale|under|7.5,MLB|pitcher_strikeouts|name:chris sale|under|7.5|draftkings,5.426553726196289,5.426553726196289,2.073446273803711,high,official,W,7,7,run_daily_card,W,-148.0,1.0,0.6756756756756757
2026-05-08|MLB|pitcher_strikeouts|name:jacob misiorowski|under|7.5|fanduel,2026-05-08,jacob misiorowski,,mlbam_player:694819,mlbam_player:694819,694819,mlbam_player,jacob misiorowski,MLB,pitcher_strikeouts,player_prop,MIL,NYY,FanDuel,fanduel,3d859a4947ba1d62e82366cdebc59d78,104,104,under,7.5,MLB|pitcher_strikeouts|name:jacob misiorowski|under|7.5,MLB|pitcher_strikeouts|name:jacob misiorowski|under|7.5|fanduel,5.974920749664307,5.974920749664307,1.5250792503356934,high,official,L,11,11,run_daily_card,L,104.0,1.0,-1.0
2026-05-08|MLB|pitcher_strikeouts|name:reid detmers|under|5.5|betmgm,2026-05-08,reid detmers,,mlbam_player:672282,mlbam_player:672282,672282,mlbam_player,reid detmers,MLB,pitcher_strikeouts,player_prop,LAA,TOR,BetMGM,betmgm,92c3e303601373eee3d37fbb858409af,-105,-105,under,5.5,MLB|pitcher_strikeouts|name:reid detmers|under|5.5,MLB|pitcher_strikeouts|name:reid detmers|under|5.5|betmgm,4.099864959716797,4.099864959716797,1.4001350402832031,high,official,W,3,3,run_daily_card,W,-105.0,1.0,0.9523809523809523
2026-05-09|MLB|pitcher_strikeouts|name:blake snell|over|4.5|fanduel,2026-05-09,blake snell,,mlbam_player:605483,mlbam_player:605483,605483,mlbam_player,blake snell,MLB,pitcher_strikeouts,player_prop,LAD,ATL,FanDuel,fanduel,4e0f5d6412cdfd2b0ade4fee11642753,-148,-148,over,4.5,MLB|pitcher_strikeouts|name:blake snell|over|4.5,MLB|pitcher_strikeouts|name:blake snell|over|4.5|fanduel,6.851329803466797,6.851329803466797,2.351329803466797,high,official,W,5,5,run_daily_card,W,-148.0,1.0,0.6756756756756757
2026-05-09|MLB|pitcher_strikeouts|name:landen roupp|under|5.5|betmgm,2026-05-09,landen roupp,,mlbam_player:694738,mlbam_player:694738,694738,mlbam_player,landen roupp,MLB,pitcher_strikeouts,player_prop,SF,PIT,BetMGM,betmgm,54ac0c67d3a1921cfede4e125572526e,115,115,under,5.5,MLB|pitcher_strikeouts|name:landen roupp|under|5.5,MLB|pitcher_strikeouts|name:landen roupp|under|5.5|betmgm,4.253480434417725,4.253480434417725,1.2465195655822754,high,official,L,8,8,run_daily_card,L,115.0,1.0,-1.0
2026-05-09|MLB|pitcher_strikeouts|name:tanner bibee|over|4.5|draftkings,2026-05-09,tanner bibee,,mlbam_player:676440,mlbam_player:676440,676440,mlbam_player,tanner bibee,MLB,pitcher_strikeouts,player_prop,CLE,MIN,DraftKings,draftkings,9fd60ef171dd7d6b753c07fe32aa37f6,-156,-156,over,4.5,MLB|pitcher_strikeouts|name:tanner bibee|over|4.5,MLB|pitcher_strikeouts|name:tanner bibee|over|4.5|draftkings,5.9974751472473145,5.9974751472473145,1.4974751472473145,high,official,W,9,9,run_daily_card,W,-156.0,1.0,0.6410256410256411
